id,etag,title,authors,publishedDate,description,pageCount,printType,maturityRating,imageLinks,language,previewLink,textSnippet,ISBN_10,ISBN_13,genre
PC8Hbq09lPoC,rwwJtNe47Yo,Sherlock: The Adventures of Sherlock Holmes,Arthur Conan Doyle,2011-11-07,"A reprinting of the first collection of Sherlock Holmes stories, containing some of Conan Doyle's best known tales of murder and mystery. Includes a new introduction by Mark Gatiss, co-creator of the television series Sherlock.",338.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=PC8Hbq09lPoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=PC8Hbq09lPoC&dq=The+Adventures+of+Sherlock+Holmes&hl=&cd=8&source=gbs_api,"A reprinting of the first collection of Sherlock Holmes stories, containing some of Conan Doyle&#39;s best known tales of murder and mystery. Includes a new introduction by Mark Gatiss, co-creator of the television series Sherlock.",1849903670,9781849903677.0,Adventure
LeYSBAAAQBAJ,IiAmNNicLhc,The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,2014-08-01,"No mystery is too challenging for the infamous detective Sherlock Holmes and his partner, Dr. Watson. Holmes is at his best when the job seems impossible—or just plain absurd. From cases involving a strange group for red-headed men to a missing thumb, Holmes uses his powers of observation and deduction to solve even the weirdest mysteries. Scottish author Sir Arthur Conan Doyle published his first twelve original Sherlock Holmes short stories as serials in the UK's Strand Magazine from 1891-1892. This unabridged collection of the stories is taken from the book form, originally published in 1892.",330.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=LeYSBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=LeYSBAAAQBAJ&printsec=frontcover&dq=The+Adventures+of+Sherlock+Holmes&hl=&cd=9&source=gbs_api,"This unabridged collection of the stories is taken from the book form, originally published in 1892.",1467757616,9781467757614.0,Adventure
Pl4wEAAAQBAJ,8GzPchyLBk8,The Adventures of Sherlock Holmes - Arthur Conan Doyle,Arthur Conan Doyle,2021-06-10,"The Adventures of Sherlock Holmes is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. Although Holmes gained a reputation for infallibility, Conan Doyle showed his own realism and feminism by having the great detective defeated by Irene Adler - the woman - in the very first story, 'A Scandal in Bohemia'.The editor of this volume, Richard Lancelyn Green is editor of The Uncollected Sherlock Holmes and The Further Adventures of Sherlock Holmes. With John Michael Gibson, he compiled the Soho Series Bibliography of A. Conan Doyle.",300.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=Pl4wEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=Pl4wEAAAQBAJ&printsec=frontcover&dq=The+Adventures+of+Sherlock+Holmes&hl=&cd=10&source=gbs_api,"Although Holmes gained a reputation for infallibility, Conan Doyle showed his own realism and feminism by having the great detective defeated by Irene Adler - the woman - in the very first story, &#39;A Scandal in Bohemia&#39;.The editor of this ...",398551111X,9783985511112.0,Adventure
Y7sOAAAAIAAJ,pNfWKYgZKQM,Alice's Adventures in Wonderland,Lewis Carroll,1920,"In the most renowned novel by English author Lewis Carroll, restless young Alice literally stumbles into adventure when she follows the hurried, time-obsessed White Rabbit down a hole and into a fantastical realm where animals are quite verbose, logic is in short supply, and royalty tends to be exceedingly unpleasant. Each playfully engaging chapter presents absurd scenarios involving an unforgettable cast of characters, including the grinning Cheshire Cat and the short-tempered Queen of Hearts, and every stop on Alice's peculiar journey is marked by sharp social satire and wondrously witty wordplay.",230.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=Y7sOAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=Y7sOAAAAIAAJ&printsec=frontcover&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=1&source=gbs_api,"In the most renowned novel by English author Lewis Carroll, restless young Alice literally stumbles into adventure when she follows the hurried, time-obsessed White Rabbit down a hole and into a fantastical realm where animals are quite ...",,,Adventure
ZxwpakTv_MIC,phaFmaEA1sg,Alice in Wonderland,Lewis Carroll,2009-01-01,"Alice in Wonderland (also known as Alice's Adventures in Wonderland), from 1865, is the peculiar and imaginative tale of a girl who falls down a rabbit-hole into a bizarre world of eccentric and unusual creatures. Lewis Carroll's prominent example of the genre of ""literary nonsense"" has endured in popularity with its clever way of playing with logic and a narrative structure that has influence generations of fiction writing.",104.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=ZxwpakTv_MIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=ZxwpakTv_MIC&printsec=frontcover&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=2&source=gbs_api,"Alice in Wonderland (also known as Alice&#39;s Adventures in Wonderland), from 1865, is the peculiar and imaginative tale of a girl who falls down a rabbit-hole into a bizarre world of eccentric and unusual creatures.",1877527815,9781877527814.0,Adventure
zEDDSh8nHwQC,Q3h47reO49U,Alice's Adventures in Wonderland,Lewis Carroll,2005,Publisher description,146.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=zEDDSh8nHwQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=zEDDSh8nHwQC&printsec=frontcover&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=3&source=gbs_api,Publisher description,1402725027,9781402725029.0,Adventure
fuBpDAAAQBAJ,i/ptDf/u6kM,Alice’s Adventures in Wonderland,Lewis Carroll,2016-06-17,"Alice’s Adventures in Wonderland is a novel written by the English author Charles Lutwidge Dodgson under the pseudonym Lewis Carroll in the year 1865. The story is about a little girl named Alice, who goes down a rabbit hole into a fantasy world inhabited by peculiar and anthropomorphic creatures. This story is popular, and it is loved by both children and adults. Under the series ‘Young Readers Classic’, this book is an inspiration of the original novel. It describes the whole story in a simple and interesting way. The colorful illustrations enhance its attraction and capture the interest of the reader.",64.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=fuBpDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=fuBpDAAAQBAJ&printsec=frontcover&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=5&source=gbs_api,"This story is popular, and it is loved by both children and adults. Under the series ‘Young Readers Classic’, this book is an inspiration of the original novel. It describes the whole story in a simple and interesting way.",,,Adventure
gnYuFTfbl4gC,l7mtdnFp+fw,Alice's Adventures in Wonderland,Lewis Carroll,2013-01-03,"Published in 1865, this world-famous classic with its cast of much-loved characters transformed children's literature, bringing its author lasting fame.",211.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=gnYuFTfbl4gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=gnYuFTfbl4gC&printsec=frontcover&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=6&source=gbs_api,"Published in 1865, this world-famous classic with its cast of much-loved characters transformed children&#39;s literature, bringing its author lasting fame.",1108059589,9781108059589.0,Adventure
-fAsEAAAQBAJ,pi5uVNEgWmI,Alice's Adventures in Wonderland - Lewis Carroll,Lewis Carroll,2021-05-21,"Alice's Adventures in Wonderland Lewis Carroll - Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel by English author Lewis Carroll (the pseudonym of Charles Dodgson). It tells of a young girl named Alice, who falls through a rabbit hole into a subterranean fantasy world populated by peculiar, anthropomorphic creatures. It is considered to be one of the best examples of the literary nonsense genre. The tale plays with logic, giving the story lasting popularity with adults as well as with children. One of the best-known and most popular works of English-language fiction, its narrative, structure, characters and imagery have been enormously influential in popular culture and literature, especially in the fantasy genre. The work has never been out of print and has been translated into at least 97 languages.Its ongoing legacy encompasses many adaptations for stage, screen, radio, art, ballet, theme parks, board games and video games. Carroll published a sequel in 1871, titled Through the Looking-Glass, and a shortened version for young children, The Nursery ""Alice"", in 1890.",81.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=-fAsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=-fAsEAAAQBAJ&printsec=frontcover&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=8&source=gbs_api,"It is considered to be one of the best examples of the literary nonsense genre. The tale plays with logic, giving the story lasting popularity with adults as well as with children.",3985513872,9783985513871.0,Adventure
KJ8mtAEACAAJ,ycoThYrJ0FY,Alice's Adventures in Wonderland,Lewis Caroll,2017-12-05,"Charles Dodgson, writing under the pen name Lewis Carroll was inspired to write down the now classic tale of ""Alice's Adventures in Wonderland"" after regaling several young children with it while on an outing. Not long after, the book was published with 42 illustrations by John Tenniel. It has since become a favorite of young people over the generations. It has been released in various other forms since 1865, with Hollywood naturally taking several cracks at it. But we all know how the book is almost always better than the movie, right? Well, here is your chance to read the book as Carroll intended it to be read! This edition is derived from an 1869 reprint of the original 1865 text, making it almost as close as you can get to the original! Imagine sitting down with your children or grandchildren and reading this classic almost exactly as it would have been read more than one hundred years ago. Dodgson was prompted by his friend, George MacDonald (another famous author of the 1800s), to publish this book. Read it yourself to find out why!",122.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=KJ8mtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=KJ8mtAEACAAJ&dq=Alice%27s+Adventures+in+Wonderland&hl=&cd=9&source=gbs_api,"Well, here is your chance to read the book as Carroll intended it to be read! This edition is derived from an 1869 reprint of the original 1865 text, making it almost as close as you can get to the original!",1947844180,9781947844186.0,Adventure
